epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2309,0.82011,3.32375,1.02683,0.63771,0.6438,0.6929,0.57591,1.04482,1.47291,1.31327,0.000122983,0.000122983,0.000122983
2,94.7232,0.79945,1.45144,1.03499,0.97352,0.9644,0.98051,0.81429,0.92821,0.84908,1.22356,0.000243878,0.000243878,0.000243878
3,139.542,0.75267,0.97805,0.99714,0.97608,0.97606,0.98155,0.82719,0.8978,0.74942,1.18347,0.000362331,0.000362331,0.000362331
4,184.459,0.73468,0.85888,0.98335,0.99067,0.98423,0.9839,0.82999,0.89968,0.6729,1.18866,0.000359011,0.000359011,0.000359011
5,229.185,0.71868,0.78326,0.97466,0.9885,0.98296,0.98453,0.83129,0.89654,0.67424,1.13285,0.000355348,0.000355348,0.000355348
6,273.961,0.7089,0.73449,0.97052,0.98941,0.98608,0.98515,0.83323,0.88198,0.63758,1.127,0.000351685,0.000351685,0.000351685
7,318.813,0.70365,0.68057,0.9645,0.99122,0.98587,0.98511,0.83111,0.88511,0.60814,1.15778,0.000348022,0.000348022,0.000348022
8,363.578,0.70053,0.6568,0.96077,0.9909,0.98605,0.98501,0.83743,0.88402,0.60299,1.14573,0.000344359,0.000344359,0.000344359
9,408.152,0.70034,0.64874,0.9654,0.98881,0.98572,0.98422,0.83791,0.8593,0.59842,1.11781,0.000340696,0.000340696,0.000340696
10,452.565,0.6857,0.60905,0.95482,0.98994,0.98687,0.98494,0.84129,0.84014,0.58043,1.1146,0.000337033,0.000337033,0.000337033
11,496.984,0.68356,0.59314,0.95042,0.98998,0.98858,0.98535,0.8395,0.86037,0.55579,1.11701,0.00033337,0.00033337,0.00033337
12,542.025,0.68471,0.57794,0.95338,0.98851,0.9874,0.9849,0.83976,0.84551,0.55342,1.11298,0.000329707,0.000329707,0.000329707
13,586.673,0.68345,0.56832,0.95955,0.99045,0.9875,0.98581,0.84198,0.83198,0.53226,1.09464,0.000326044,0.000326044,0.000326044
14,631.313,0.67906,0.54567,0.95139,0.99305,0.98664,0.98529,0.84361,0.83639,0.54735,1.12061,0.000322381,0.000322381,0.000322381
15,675.87,0.67371,0.54102,0.95481,0.99251,0.98646,0.98557,0.84559,0.84988,0.5475,1.12675,0.000318718,0.000318718,0.000318718
16,720.303,0.68132,0.53508,0.95865,0.9927,0.98875,0.98611,0.84333,0.82439,0.53498,1.09722,0.000315055,0.000315055,0.000315055
17,765.034,0.67256,0.522,0.95106,0.99166,0.98866,0.98618,0.84576,0.82711,0.51649,1.10226,0.000311392,0.000311392,0.000311392
18,809.685,0.66987,0.50805,0.95038,0.991,0.98717,0.98537,0.84672,0.82862,0.51684,1.11162,0.000307729,0.000307729,0.000307729
19,854.42,0.67237,0.50059,0.95288,0.9901,0.98975,0.98553,0.8501,0.8146,0.50417,1.09401,0.000304066,0.000304066,0.000304066
20,898.937,0.66632,0.48803,0.9482,0.99147,0.98867,0.98584,0.8448,0.83312,0.50094,1.11794,0.000300403,0.000300403,0.000300403
21,943.605,0.66522,0.48127,0.94827,0.99337,0.98812,0.98595,0.84731,0.83917,0.51447,1.12776,0.00029674,0.00029674,0.00029674
